source,metrica,queries,media_rag,media_graphrag,delta_medio,graphrag_ganhou,rag_ganhou,empates
LLM,p_at_10,50,0.29200000000000004,0.33399999999999996,0.042,20,5,25
LLM,r_at_10,50,0.26079642579642576,0.29911305361305357,0.03831662781662781,20,5,25
LLM,mrr_at_10,50,0.673079365079365,0.6400555555555556,-0.033023809523809525,11,14,25
LLM,ndcg_at_10,50,0.4006102383188816,0.4110867450329724,0.010476506714090741,27,18,5
expression from LLM question,p_at_10,50,0.266,0.3,0.033999999999999996,19,5,26
expression from LLM question,r_at_10,50,0.22196092796092792,0.2505989565989566,0.028638028638028636,19,5,26
expression from LLM question,mrr_at_10,50,0.6965238095238095,0.6311349206349205,-0.0653888888888889,12,16,22
expression from LLM question,ndcg_at_10,50,0.3691367302286399,0.3668619168769979,-0.0022748133516421187,22,24,4
search log,p_at_10,50,0.158,0.188,0.029999999999999995,13,3,34
search log,r_at_10,50,0.12928038628038624,0.15589510489510483,0.026614718614718615,13,3,34
search log,mrr_at_10,50,0.39124603174603173,0.4258412698412698,0.0345952380952381,17,11,22
search log,ndcg_at_10,50,0.18563179696743937,0.21784314469357788,0.03221134772613856,25,12,13
