query_id,source,p_at_10_RAG,r_at_10_RAG,mrr_at_10_RAG,ndcg_at_10_RAG,p_at_10_GraphRAG,r_at_10_GraphRAG,mrr_at_10_GraphRAG,ndcg_at_10_GraphRAG,delta_p_at_10,delta_r_at_10,delta_mrr_at_10,delta_ndcg_at_10,comparacao,p_at_10_Hibrido,r_at_10_Hibrido,mrr_at_10_Hibrido,ndcg_at_10_Hibrido
1,search log,0.2,0.1333333333333333,0.3333333333333333,0.1794771050858173,0.2,0.1333333333333333,1.0,0.2934556883974402,0.0,0.0,0.6666666666666667,0.11397858331162289,RAG -> GraphRAG,,,,
2,search log,0.2,0.2857142857142857,1.0,0.2141465328871384,0.3,0.4285714285714285,0.5,0.2931973319593919,0.09999999999999998,0.1428571428571428,-0.5,0.07905079907225351,RAG -> GraphRAG,,,,
3,search log,0.1,0.0666666666666666,1.0,0.1064483705933263,0.2,0.1333333333333333,1.0,0.1782461566938843,0.1,0.06666666666666671,0.0,0.071797786100558,RAG -> GraphRAG,,,,
4,search log,0.3,0.2307692307692307,0.5,0.3183395489593718,0.4,0.3076923076923077,1.0,0.4412851793128928,0.10000000000000003,0.07692307692307701,0.5,0.12294563035352102,RAG -> GraphRAG,,,,
5,search log,0.2,0.1538461538461538,0.3333333333333333,0.1763001066034291,0.2,0.1538461538461538,1.0,0.3148801306676309,0.0,0.0,0.6666666666666667,0.13858002406420178,RAG -> GraphRAG,,,,
6,search log,0.1,0.0714285714285714,0.3333333333333333,0.11004588314904,0.1,0.0714285714285714,0.5,0.1388624438735545,0.0,0.0,0.16666666666666669,0.02881656072451451,RAG -> GraphRAG,,,,
7,search log,0.4,0.3636363636363636,0.25,0.3195496275649209,0.2,0.1818181818181818,0.2,0.1545743395783982,-0.2,-0.1818181818181818,-0.04999999999999999,-0.1649752879865227,RAG -> GraphRAG,,,,
8,search log,0.1,0.0769230769230769,0.1111111111111111,0.0715653988915403,0.1,0.0769230769230769,0.1428571428571428,0.0792450363998762,0.0,0.0,0.03174603174603169,0.007679637508335904,RAG -> GraphRAG,,,,
9,search log,0.1,0.0714285714285714,0.1,0.0687208580504547,0.0,0.0,0.0,0.0,-0.1,-0.0714285714285714,-0.1,-0.0687208580504547,RAG -> GraphRAG,,,,
10,search log,0.2,0.2,1.0,0.3425925097329886,0.3,0.3,1.0,0.4412499594624562,0.09999999999999998,0.09999999999999998,0.0,0.0986574497294676,RAG -> GraphRAG,,,,
11,search log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
