comparacao,source,metrica,media_a,media_b,delta_b_menos_a
RAG -> GraphRAG,LLM,p_at_10,0.29200000000000004,0.33399999999999996,0.041999999999999926
RAG -> GraphRAG,LLM,r_at_10,0.26079642579642576,0.29911305361305357,0.03831662781662781
RAG -> GraphRAG,LLM,mrr_at_10,0.673079365079365,0.6400555555555556,-0.033023809523809455
RAG -> GraphRAG,LLM,ndcg_at_10,0.4006102383188816,0.4110867450329724,0.010476506714090783
RAG -> GraphRAG,expression from LLM question,p_at_10,0.266,0.3,0.033999999999999975
RAG -> GraphRAG,expression from LLM question,r_at_10,0.22196092796092792,0.2505989565989566,0.028638028638028667
RAG -> GraphRAG,expression from LLM question,mrr_at_10,0.6965238095238095,0.6311349206349205,-0.06538888888888905
RAG -> GraphRAG,expression from LLM question,ndcg_at_10,0.3691367302286399,0.3668619168769979,-0.0022748133516420355
RAG -> GraphRAG,search log,p_at_10,0.158,0.188,0.03
RAG -> GraphRAG,search log,r_at_10,0.12928038628038624,0.15589510489510483,0.02661471861471859
RAG -> GraphRAG,search log,mrr_at_10,0.39124603174603173,0.4258412698412698,0.03459523809523807
RAG -> GraphRAG,search log,ndcg_at_10,0.18563179696743937,0.21784314469357788,0.03221134772613851
RAG -> Hibrido,LLM,p_at_10,0.29200000000000004,0.31,0.01799999999999996
RAG -> Hibrido,LLM,r_at_10,0.26079642579642576,0.27625330225330225,0.01545687645687649
RAG -> Hibrido,LLM,mrr_at_10,0.673079365079365,0.659888888888889,-0.013190476190476086
RAG -> Hibrido,LLM,ndcg_at_10,0.4006102383188816,0.40988146137417564,0.009271223055294042
RAG -> Hibrido,expression from LLM question,p_at_10,0.266,0.28600000000000003,0.020000000000000018
RAG -> Hibrido,expression from LLM question,r_at_10,0.22196092796092792,0.23869252969252966,0.016731601731601736
RAG -> Hibrido,expression from LLM question,mrr_at_10,0.6965238095238095,0.7004444444444445,0.003920634920634991
RAG -> Hibrido,expression from LLM question,ndcg_at_10,0.3691367302286399,0.38497379289929334,0.015837062670653435
RAG -> Hibrido,search log,p_at_10,0.158,0.17000000000000004,0.012000000000000038
RAG -> Hibrido,search log,r_at_10,0.12928038628038624,0.13945521145521142,0.01017482517482518
RAG -> Hibrido,search log,mrr_at_10,0.39124603174603173,0.4526349206349206,0.06138888888888888
RAG -> Hibrido,search log,ndcg_at_10,0.18563179696743937,0.2083723292343361,0.022740532266896735
GraphRAG -> Hibrido,LLM,p_at_10,0.33399999999999996,0.31,-0.023999999999999966
GraphRAG -> Hibrido,LLM,r_at_10,0.29911305361305357,0.27625330225330225,-0.022859751359751324
GraphRAG -> Hibrido,LLM,mrr_at_10,0.6400555555555556,0.659888888888889,0.01983333333333337
GraphRAG -> Hibrido,LLM,ndcg_at_10,0.4110867450329724,0.40988146137417564,-0.0012052836587967408
GraphRAG -> Hibrido,expression from LLM question,p_at_10,0.3,0.28600000000000003,-0.013999999999999957
GraphRAG -> Hibrido,expression from LLM question,r_at_10,0.2505989565989566,0.23869252969252966,-0.011906426906426931
GraphRAG -> Hibrido,expression from LLM question,mrr_at_10,0.6311349206349205,0.7004444444444445,0.06930952380952404
GraphRAG -> Hibrido,expression from LLM question,ndcg_at_10,0.3668619168769979,0.38497379289929334,0.01811187602229547
GraphRAG -> Hibrido,search log,p_at_10,0.188,0.17000000000000004,-0.01799999999999996
GraphRAG -> Hibrido,search log,r_at_10,0.15589510489510483,0.13945521145521142,-0.01643989343989341
GraphRAG -> Hibrido,search log,mrr_at_10,0.4258412698412698,0.4526349206349206,0.026793650793650814
GraphRAG -> Hibrido,search log,ndcg_at_10,0.21784314469357788,0.2083723292343361,-0.009470815459241777
