comparacao,arquitetura_a,arquitetura_b,metrica,media_a,media_b,delta_b_menos_a,mudanca_relativa_pct,vitorias_a,vitorias_b,empates,ic95_inferior,ic95_superior,p_permutacao
RAG -> GraphRAG,RAG,GraphRAG,p_at_10,0.23866666666666664,0.2740000000000001,0.035333333333333335,14.804469273743019,13,52,85,0.021333333333333336,0.04933333333333333,9.999000099990002e-05
RAG -> GraphRAG,RAG,GraphRAG,r_at_10,0.20401258001258,0.23520237170237165,0.031189791689791687,15.28817080195174,13,52,85,0.01926673419173419,0.04338627483627483,9.999000099990002e-05
RAG -> GraphRAG,RAG,GraphRAG,mrr_at_10,0.5869497354497355,0.5656772486772487,-0.021272486772486773,-3.6242433529997697,41,40,69,-0.07298994708994709,0.03168048941798941,0.4253574642535746
RAG -> GraphRAG,RAG,GraphRAG,ndcg_at_10,0.31845958850498696,0.3319306022011827,0.013471013696195723,4.230054356169832,54,74,22,-0.006490091807429621,0.03304869738385469,0.1840815918408159
RAG -> Hibrido,RAG,Hibrido,p_at_10,0.23866666666666664,0.2553333333333334,0.016666666666666666,6.983240223463688,5,28,117,0.009333333333333332,0.024666666666666667,9.999000099990002e-05
RAG -> Hibrido,RAG,Hibrido,r_at_10,0.20401258001258,0.21813368113368115,0.014121101121101123,6.921681555240553,5,28,117,0.007765323565323567,0.020998354423354425,9.999000099990002e-05
RAG -> Hibrido,RAG,Hibrido,mrr_at_10,0.5869497354497355,0.6043227513227514,0.01737301587301588,2.9598813703705384,25,33,92,-0.02006097883597884,0.056564417989417984,0.3792620737926207
RAG -> Hibrido,RAG,Hibrido,ndcg_at_10,0.31845958850498696,0.33440919450260176,0.015949605997614757,5.008361052179464,38,68,44,0.004388880947549059,0.027674279387423624,0.009299070092990702
GraphRAG -> Hibrido,GraphRAG,Hibrido,p_at_10,0.2740000000000001,0.2553333333333334,-0.018666666666666665,-6.812652068126518,38,13,99,-0.02866666666666667,-0.008666666666666665,0.0005999400059994001
GraphRAG -> Hibrido,GraphRAG,Hibrido,r_at_10,0.23520237170237165,0.21813368113368115,-0.017068690568690568,-7.257023152083486,38,13,99,-0.026043475505975505,-0.008222706922706926,9.999000099990002e-05
GraphRAG -> Hibrido,GraphRAG,Hibrido,mrr_at_10,0.5656772486772487,0.6043227513227514,0.03864550264550264,6.831722989720614,24,39,87,0.0033404100529100503,0.07388783068783066,0.030996900309969003
GraphRAG -> Hibrido,GraphRAG,Hibrido,ndcg_at_10,0.3319306022011827,0.33440919450260176,0.0024785923014190346,0.7467200327364704,64,58,28,-0.009250753698079718,0.014476380807569416,0.677032296770323
